  1 2016-10-18 22:21:30.390782      0.0.0.0 -> 255.255.255.255 DHCP 342 DHCP Discover - Transaction ID 0x8508574f
  2 2016-10-18 22:21:33.485285      0.0.0.0 -> 255.255.255.255 DHCP 342 DHCP Discover - Transaction ID 0x8508574f
 43 2016-10-18 22:21:38.715723     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=13070 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 44 2016-10-18 22:21:38.715770     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=14518 Win=58368 Len=0 TSval=121975408 TSecr=121975378
 45 2016-10-18 22:21:38.746710     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [PSH, ACK] Seq=14518 Ack=1 Win=29696 Len=1448 TSval=121975418 TSecr=121975398
 46 2016-10-18 22:21:38.746761     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=15966 Win=60928 Len=0 TSval=121975439 TSecr=121975418
 47 2016-10-18 22:21:38.746780     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=15966 Ack=1 Win=29696 Len=1448 TSval=121975418 TSecr=121975398
 48 2016-10-18 22:21:38.746797     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=17414 Win=64000 Len=0 TSval=121975439 TSecr=121975418
 49 2016-10-18 22:21:38.747803     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=17414 Ack=1 Win=29696 Len=1448 TSval=121975419 TSecr=121975398
 50 2016-10-18 22:21:38.747844     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=18862 Win=67072 Len=0 TSval=121975440 TSecr=121975419
 51 2016-10-18 22:21:38.749030     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=18862 Ack=1 Win=29696 Len=1448 TSval=121975419 TSecr=121975398
 52 2016-10-18 22:21:38.749079     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=20310 Win=69632 Len=0 TSval=121975441 TSecr=121975419
 53 2016-10-18 22:21:38.750245     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=20310 Ack=1 Win=29696 Len=1448 TSval=121975419 TSecr=121975399
 54 2016-10-18 22:21:38.750285     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=21758 Win=72704 Len=0 TSval=121975442 TSecr=121975419
 55 2016-10-18 22:21:38.751526     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=21758 Ack=1 Win=29696 Len=1448 TSval=121975419 TSecr=121975399
 56 2016-10-18 22:21:38.751574     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=23206 Win=75776 Len=0 TSval=121975443 TSecr=121975419
 57 2016-10-18 22:21:38.752748     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=23206 Ack=1 Win=29696 Len=1448 TSval=121975421 TSecr=121975400
 58 2016-10-18 22:21:38.752804     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=24654 Win=78336 Len=0 TSval=121975445 TSecr=121975421
 59 2016-10-18 22:21:38.753875     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=24654 Ack=1 Win=29696 Len=1448 TSval=121975421 TSecr=121975400
 60 2016-10-18 22:21:38.753918     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=26102 Win=81408 Len=0 TSval=121975446 TSecr=121975421
 61 2016-10-18 22:21:38.755069     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=26102 Ack=1 Win=29696 Len=1448 TSval=121975422 TSecr=121975402
 62 2016-10-18 22:21:38.755113     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=27550 Win=84480 Len=0 TSval=121975447 TSecr=121975422
 63 2016-10-18 22:21:38.756344     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=27550 Ack=1 Win=29696 Len=1448 TSval=121975422 TSecr=121975402
 64 2016-10-18 22:21:38.756393     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=28998 Win=87040 Len=0 TSval=121975448 TSecr=121975422
 65 2016-10-18 22:21:38.757553     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=28998 Ack=1 Win=29696 Len=1448 TSval=121975423 TSecr=121975403
 66 2016-10-18 22:21:38.757597     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=30446 Win=90112 Len=0 TSval=121975449 TSecr=121975423
 67 2016-10-18 22:21:38.758802     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [PSH, ACK] Seq=30446 Ack=1 Win=29696 Len=1448 TSval=121975423 TSecr=121975403
 68 2016-10-18 22:21:38.758869     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=31894 Win=92672 Len=0 TSval=121975451 TSecr=121975423
 69 2016-10-18 22:21:38.759912     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=31894 Ack=1 Win=29696 Len=1448 TSval=121975424 TSecr=121975404
 70 2016-10-18 22:21:38.759952     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=33342 Win=95744 Len=0 TSval=121975452 TSecr=121975424
 71 2016-10-18 22:21:38.761143     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=33342 Ack=1 Win=29696 Len=1448 TSval=121975424 TSecr=121975404
 72 2016-10-18 22:21:38.761185     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=34790 Win=98816 Len=0 TSval=121975453 TSecr=121975424
 73 2016-10-18 22:21:38.762397     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=34790 Ack=1 Win=29696 Len=1448 TSval=121975425 TSecr=121975405
 74 2016-10-18 22:21:38.762446     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=36238 Win=101376 Len=0 TSval=121975454 TSecr=121975425
 75 2016-10-18 22:21:38.763610     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=36238 Ack=1 Win=29696 Len=1448 TSval=121975425 TSecr=121975405
 76 2016-10-18 22:21:38.763672     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=37686 Win=104448 Len=0 TSval=121975456 TSecr=121975425
 77 2016-10-18 22:21:38.764820     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=37686 Ack=1 Win=29696 Len=1448 TSval=121975427 TSecr=121975406
 78 2016-10-18 22:21:38.764865     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=39134 Win=107520 Len=0 TSval=121975457 TSecr=121975427
 79 2016-10-18 22:21:38.765967     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=39134 Ack=1 Win=29696 Len=1448 TSval=121975427 TSecr=121975406
 80 2016-10-18 22:21:38.766010     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=40582 Win=110080 Len=0 TSval=121975458 TSecr=121975427
 81 2016-10-18 22:21:38.767199     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=40582 Ack=1 Win=29696 Len=1448 TSval=121975428 TSecr=121975408
 82 2016-10-18 22:21:38.767235     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=42030 Win=113152 Len=0 TSval=121975459 TSecr=121975428
 83 2016-10-18 22:21:38.768378     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=42030 Ack=1 Win=29696 Len=1448 TSval=121975428 TSecr=121975408
 84 2016-10-18 22:21:38.768418     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=43478 Win=116224 Len=0 TSval=121975460 TSecr=121975428
 85 2016-10-18 22:21:38.787520     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=43478 Ack=1 Win=29696 Len=1448 TSval=121975459 TSecr=121975439
 86 2016-10-18 22:21:38.787550     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=44926 Win=118784 Len=0 TSval=121975479 TSecr=121975459
 87 2016-10-18 22:21:38.787571     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=44926 Ack=1 Win=29696 Len=1448 TSval=121975459 TSecr=121975439
 88 2016-10-18 22:21:38.787604     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=46374 Win=121856 Len=0 TSval=121975479 TSecr=121975459
 89 2016-10-18 22:21:38.788700     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [PSH, ACK] Seq=46374 Ack=1 Win=29696 Len=1448 TSval=121975459 TSecr=121975439
 90 2016-10-18 22:21:38.788733     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=47822 Win=124928 Len=0 TSval=121975481 TSecr=121975459
 91 2016-10-18 22:21:38.789768     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=47822 Ack=1 Win=29696 Len=1448 TSval=121975459 TSecr=121975439
 92 2016-10-18 22:21:38.789810     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=49270 Win=127488 Len=0 TSval=121975482 TSecr=121975459
 93 2016-10-18 22:21:38.790931     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=49270 Ack=1 Win=29696 Len=1448 TSval=121975460 TSecr=121975440
 94 2016-10-18 22:21:38.790971     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=50718 Win=130560 Len=0 TSval=121975483 TSecr=121975460
