S1-time		S2-time			IAT-S2			Delay-S2		S1-chksum				S2-chksum
10:55:06.131   10:55:06.151   0:00:00                            0:00:00.020000           ['tcp_csum:6742']               ['tcp_csum:6742']
10:55:06.133   10:55:06.153   0:00:00.002000                     0:00:00.020000           ['tcp_csum:846']                 ['tcp_csum:846']
10:55:06.133   10:55:06.156   0:00:00.003000                     0:00:00.023000           ['tcp_csum:98b']                 ['tcp_csum:98b']
10:55:06.135   10:55:06.156   0:00:00                            0:00:00.021000           ['tcp_csum:b22e']               ['tcp_csum:b22e']
10:55:06.135   10:55:06.157   0:00:00.001000                     0:00:00.022000           ['tcp_csum:6c51']               ['tcp_csum:6c51']
10:55:06.138   10:55:06.158   0:00:00.001000                     0:00:00.020000           ['tcp_csum:d934']               ['tcp_csum:d934']
10:55:06.138   10:55:06.159   0:00:00.001000                     0:00:00.021000           ['tcp_csum:22e7']               ['tcp_csum:22e7']
10:55:06.141   10:55:06.161   0:00:00.002000                     0:00:00.020000           ['tcp_csum:3c9f']               ['tcp_csum:3c9f']
10:55:06.141   10:55:06.162   0:00:00.001000                     0:00:00.021000           ['tcp_csum:9f30']               ['tcp_csum:9f30']
10:55:06.143   10:55:06.163   0:00:00.001000                     0:00:00.020000           ['tcp_csum:b3f5']               ['tcp_csum:b3f5']
10:55:06.143   10:55:06.164   0:00:00.001000                     0:00:00.021000           ['tcp_csum:beae']               ['tcp_csum:beae']
10:55:06.145   10:55:06.165   0:00:00.001000                     0:00:00.020000           ['tcp_csum:9fa4']               ['tcp_csum:9fa4']
10:55:06.145   10:55:06.166   0:00:00.001000                     0:00:00.021000           ['tcp_csum:f20c']               ['tcp_csum:f20c']
10:55:06.148   10:55:06.168   0:00:00.002000                     0:00:00.020000           ['tcp_csum:95c']                 ['tcp_csum:95c']
10:55:06.148   10:55:06.169   0:00:00.001000                     0:00:00.021000           ['tcp_csum:d79c']               ['tcp_csum:d79c']
10:55:06.154   10:55:06.174   0:00:00.005000                     0:00:00.020000           ['tcp_csum:8754']               ['tcp_csum:8754']
10:55:06.155   10:55:06.175   0:00:00.001000                     0:00:00.020000           ['tcp_csum:f8db']               ['tcp_csum:f8db']
10:55:06.157   10:55:06.177   0:00:00.002000                     0:00:00.020000           ['tcp_csum:e44f']               ['tcp_csum:e44f']
10:55:06.157   10:55:06.177   0:00:00                            0:00:00.020000           ['tcp_csum:73b0']               ['tcp_csum:73b0']
10:55:06.159   10:55:06.179   0:00:00.002000                     0:00:00.020000           ['tcp_csum:ad49']               ['tcp_csum:ad49']
10:55:06.159   10:55:06.179   0:00:00                            0:00:00.020000           ['tcp_csum:2c8d']               ['tcp_csum:2c8d']
10:55:06.161   10:55:06.181   0:00:00.002000                     0:00:00.020000           ['tcp_csum:5e02']               ['tcp_csum:5e02']
10:55:06.162   10:55:06.182   0:00:00.001000                     0:00:00.020000           ['tcp_csum:9bd0']               ['tcp_csum:9bd0']
10:55:06.164   10:55:06.184   0:00:00.002000                     0:00:00.020000           ['tcp_csum:6149']               ['tcp_csum:6149']
10:55:06.164   10:55:06.184   0:00:00                            0:00:00.020000           ['tcp_csum:3688']               ['tcp_csum:3688']
10:55:06.167   10:55:06.187   0:00:00.003000                     0:00:00.020000           ['tcp_csum:ab04']               ['tcp_csum:ab04']
10:55:06.167   10:55:06.187   0:00:00                            0:00:00.020000           ['tcp_csum:f409']               ['tcp_csum:f409']
10:55:06.169   10:55:06.189   0:00:00.002000                     0:00:00.020000           ['tcp_csum:ce77']               ['tcp_csum:ce77']
10:55:06.169   10:55:06.191   0:00:00.002000                     0:00:00.022000           ['tcp_csum:6f7b']               ['tcp_csum:70be']
10:55:06.171   10:55:06.191   0:00:00                            0:00:00.020000           ['tcp_csum:70be']               ['tcp_csum:1964']
10:55:06.172   10:55:06.194   0:00:00.003000                     0:00:00.022000           ['tcp_csum:1964']               ['tcp_csum:d386']
10:55:06.173   10:55:06.194   0:00:00                            0:00:00.021000           ['tcp_csum:d386']               ['tcp_csum:406a']
10:55:06.174   10:55:06.196   0:00:00.002000                     0:00:00.022000           ['tcp_csum:406a']               ['tcp_csum:8a1a']
10:55:06.176   10:55:06.196   0:00:00                            0:00:00.020000           ['tcp_csum:8a1a']               ['tcp_csum:a3d4']
10:55:06.176   10:55:06.199   0:00:00.003000                     0:00:00.023000           ['tcp_csum:a3d4']                ['tcp_csum:664']
10:55:06.179   10:55:06.199   0:00:00                            0:00:00.020000           ['tcp_csum:664']                ['tcp_csum:1b2b']
10:55:06.179   10:55:06.201   0:00:00.002000                     0:00:00.022000           ['tcp_csum:1b2b']               ['tcp_csum:25e4']
10:55:06.181   10:55:06.201   0:00:00                            0:00:00.020000           ['tcp_csum:25e4']                ['tcp_csum:6da']
10:55:06.181   10:55:06.204   0:00:00.003000                     0:00:00.023000           ['tcp_csum:6da']                ['tcp_csum:5940']
10:55:06.183   10:55:06.204   0:00:00                            0:00:00.021000           ['tcp_csum:5940']               ['tcp_csum:7091']
10:55:06.183   10:55:06.206   0:00:00.002000                     0:00:00.023000           ['tcp_csum:7091']               ['tcp_csum:3ed2']
10:55:06.185   10:55:06.206   0:00:00                            0:00:00.021000           ['tcp_csum:3ed2']               ['tcp_csum:ee95']
10:55:06.186   10:55:06.208   0:00:00.002000                     0:00:00.022000           ['tcp_csum:ee95']                ['tcp_csum:87e']
10:55:06.189   10:55:06.209   0:00:00.001000                     0:00:00.020000           ['tcp_csum:87e']                ['tcp_csum:4628']
10:55:06.189   10:55:06.215   0:00:00.006000                     0:00:00.026000           ['tcp_csum:4628']               ['tcp_csum:1b00']
10:55:06.195   10:55:06.215   0:00:00                            0:00:00.020000           ['tcp_csum:1b00']               ['tcp_csum:4f17']
10:55:06.195   10:55:06.217   0:00:00.002000                     0:00:00.022000           ['tcp_csum:4f17']               ['tcp_csum:3a8b']
10:55:06.197   10:55:06.217   0:00:00                            0:00:00.020000           ['tcp_csum:3a8b']               ['tcp_csum:c9eb']
10:55:06.197   10:55:06.220   0:00:00.003000                     0:00:00.023000           ['tcp_csum:c9eb']                ['tcp_csum:385']
10:55:06.199   10:55:06.220   0:00:00                            0:00:00.021000           ['tcp_csum:385']                ['tcp_csum:82c8']
10:55:06.199   10:55:06.222   0:00:00.002000                     0:00:00.023000           ['tcp_csum:82c8']               ['tcp_csum:b43d']
10:55:06.202   10:55:06.222   0:00:00                            0:00:00.020000           ['tcp_csum:b43d']               ['tcp_csum:f20b']
10:55:06.203   10:55:06.225   0:00:00.003000                     0:00:00.022000           ['tcp_csum:f20b']               ['tcp_csum:b784']
10:55:06.204   10:55:06.225   0:00:00                            0:00:00.021000           ['tcp_csum:b784']               ['tcp_csum:8cc3']
10:55:06.204   10:55:06.227   0:00:00.002000                     0:00:00.023000           ['tcp_csum:8cc3']                ['tcp_csum:140']
10:55:06.207   10:55:06.227   0:00:00                            0:00:00.020000           ['tcp_csum:140']                ['tcp_csum:4a45']
10:55:06.207   10:55:06.229   0:00:00.002000                     0:00:00.022000           ['tcp_csum:4a45']               ['tcp_csum:24b3']
10:55:06.209   10:55:06.230   0:00:00.001000                     0:00:00.021000           ['tcp_csum:24b3']               ['tcp_csum:c5b6']
10:55:06.209   10:55:06.234   0:00:00.004000                     0:00:00.025000           ['tcp_csum:c5b6']               ['tcp_csum:6f65']
10:55:06.214   10:55:06.276   0:00:00.042000                     0:00:00.062000           ['tcp_csum:6f65']               ['tcp_csum:c6e5']
10:55:06.255   10:55:06.279   0:00:00.003000                     0:00:00.024000           ['tcp_csum:c6e5']               ['tcp_csum:6f8a']
10:55:06.256   10:55:06.279   0:00:00                            0:00:00.023000           ['tcp_csum:6f8a']               ['tcp_csum:29ad']
10:55:06.256   10:55:06.280   0:00:00.001000                     0:00:00.024000           ['tcp_csum:29ad']               ['tcp_csum:9690']
10:55:06.256   10:55:06.281   0:00:00.001000                     0:00:00.025000           ['tcp_csum:9690']               ['tcp_csum:e042']
10:55:06.256   10:55:06.282   0:00:00.001000                     0:00:00.026000           ['tcp_csum:e042']               ['tcp_csum:f9fc']
10:55:06.256   10:55:06.283   0:00:00.001000                     0:00:00.027000           ['tcp_csum:f9fc']               ['tcp_csum:5c8e']
10:55:06.256   10:55:06.285   0:00:00.002000                     0:00:00.029000           ['tcp_csum:5c8e']               ['tcp_csum:7155']
10:55:06.256   10:55:06.286   0:00:00.001000                     0:00:00.030000           ['tcp_csum:7155']               ['tcp_csum:7c0e']
10:55:06.256   10:55:06.287   0:00:00.001000                     0:00:00.031000           ['tcp_csum:7c0e']               ['tcp_csum:5d04']
10:55:06.256   10:55:06.289   0:00:00.002000                     0:00:00.033000           ['tcp_csum:5d04']               ['tcp_csum:af6c']
10:55:06.256   10:55:06.290   0:00:00.001000                     0:00:00.034000           ['tcp_csum:af6c']               ['tcp_csum:c6bd']
10:55:06.257   10:55:06.291   0:00:00.001000                     0:00:00.034000           ['tcp_csum:c6bd']               ['tcp_csum:94fe']
10:55:06.257   10:55:06.292   0:00:00.001000                     0:00:00.035000           ['tcp_csum:94fe']               ['tcp_csum:44c2']
10:55:06.257   10:55:06.293   0:00:00.001000                     0:00:00.036000           ['tcp_csum:44c2']               ['tcp_csum:5eac']
10:55:06.257   10:55:06.294   0:00:00.001000                     0:00:00.037000           ['tcp_csum:5eac']               ['tcp_csum:9c56']
10:55:06.257   10:55:06.296   0:00:00.002000                     0:00:00.039000           ['tcp_csum:9c56']               ['tcp_csum:713a']
10:55:06.257   10:55:06.297   0:00:00.001000                     0:00:00.040000           ['tcp_csum:713a']               ['tcp_csum:ec97']
10:55:06.257   10:55:06.298   0:00:00.001000                     0:00:00.041000           ['tcp_csum:ec97']               ['tcp_csum:d12d']
10:55:06.257   10:55:06.301   0:00:00.003000                     0:00:00.044000           ['tcp_csum:d12d']               ['tcp_csum:4244']
